"","year","month","year_month","total_oev","total","total_velo","temperature","precipitation","retail_and_recreation_percent_change_from_baseline","grocery_and_pharmacy_percent_change_from_baseline","parks_percent_change_from_baseline","transit_stations_percent_change_from_baseline","workplaces_percent_change_from_baseline","residential_percent_change_from_baseline","covid_cases_bs","stringency_index","containment_health_index","forecast_velo","forecast_miv","forecast_fuss","diff","perc","transport_mode","total_fahrzeug"
"1",2020,1,2020-01-01,NA,1470653,1471517,3.6,16.5,NA,NA,NA,NA,NA,NA,NA,0,0,1252178.27341394,8790203.18667759,1496807.34949476,-26154.3494947646,-1.74734240205279,"Fuss",NA
"2",2020,2,2020-02-01,7524000,1402531,1374603,7.6,69.8,2.27577319587629,3.1219512195122,19.6167400881057,3.78974358974359,-4.01546391752577,0.782918149466192,0,2.68199233716475,5.31609195402299,1252006.38396183,8574409.1607691,1493354.33181935,-90823.3318193522,-6.08183402184947,"Fuss",NA
"3",2020,3,2020-03-01,7367000,1134967,1276055,7.3,47.9,-36.8343711083437,-4.35921052631579,-3.82692307692308,-31.590570719603,-22.84875,11.6825688073395,609,54.2568255232532,48.1746979954865,1523375.30872189,8903883.85703621,1598673.99329852,-463706.993298524,-29.005725697818,"Fuss",NA
"4",2020,4,2020-04-01,2508000,951048,1336751,13.5,16.8,-73.0935023771791,-11.3304498269896,21.2542372881356,-44.9435897435897,-42.9820971867008,19.4338085539715,298,81.4814814814815,68.0555555555556,1621331.39711483,8621561.41669608,1536441.98716037,-585393.987160366,-38.1006241727541,"Fuss",NA
"5",2020,5,2020-05-01,5482000,1210475,1619849,14.7,73.6,-36.272,-1.74315068493151,19.1868131868132,-26.1890547263682,-25.9586983729662,11.7453531598513,27,76.284348864994,68.8620071684588,1812994.53578458,8894827.4849309,1538628.39573213,-328153.395732134,-21.3276575840125,"Fuss",NA
"6",2020,6,2020-06-01,6259000,1318844,1892774,17.8,79.1,-15.1708860759494,-1.41196581196581,19.9058823529412,-14.0642673521851,-17.5025706940874,5.85925925925926,7,50.8024691358025,53.8425925925926,1986024.75490067,8684297.3223517,1523093.09416665,-204249.09416665,-13.4101516807417,"Fuss",NA
"7",2020,7,2020-07-01,5946000,1249187,1991156,21.3,5.6,-7.38181818181818,3.10726072607261,99.3098236775819,-5.29477611940298,-23.0534161490683,2.73166368515206,69,35.9617682198327,46.9982078853047,1786433.3656882,8416274.0275652,1469995.81781402,-220808.817814017,-15.021050749816,"Fuss",NA
"8",2020,8,2020-08-01,8072000,1232218,2042854,21.1,127.9,-11.1211498973306,-3.83710407239819,99.7649769585254,-7.36677115987461,-23.2102803738318,2.56569343065693,161,34.2592592592593,46.5277777777778,1990538.66879871,8523879.43002093,1522573.53530814,-290355.535308141,-19.0700500550457,"Fuss",NA
"9",2020,9,2020-09-01,7103000,1313078,2057742,17,46.2,-7.98476190476191,-1.77661795407098,60.508896797153,-5.95982142857143,-15.5374449339207,1.54577464788732,102,34.2592592592593,45.3600823045267,2020999.29603566,8512163.35575121,1518251.19896221,-205173.198962215,-13.513784748035,"Fuss",NA
"10",2020,10,2020-10-01,6614000,1332465,1641537,10.6,106.6,-15.0567164179104,-2.24790619765494,19.4481981981982,-17.7531017369727,-16.9278606965174,5.56940063091483,1259,30.6905172795256,40.2645028541086,1758908.62056561,8717487.07263151,1538285.51966526,-205820.519665257,-13.3798645982214,"Fuss",NA
"11",2020,11,2020-11-01,8036000,1243470,1553695,6.8,18.1,-25.9496855345912,-2.02504472271914,3.23809523809524,-26.5730769230769,-16.7600518806744,9.18390804597701,2848,48.823731138546,52.8094993141289,1644804.18737358,8824413.6158489,1549906.92042911,-306436.920429107,-19.7713111923048,"Fuss",NA
"12",2020,12,2020-12-01,5836000,1160113,1118637,4.1,68.3,-28.6998468606432,-0.925675675675676,-10.9617021276596,-32.8970223325062,-29.1536555142503,11.9638364779874,2683,53.2855436081243,56.1039758396389,1322067.99094412,8607510.26892989,1525776.7713746,-365663.771374605,-23.9657450706351,"Fuss",NA
"13",2021,1,2021-01-01,6685000,1108317,962819,2.2,110.2,-49.9035222052067,-13.0648464163823,-13.5042194092827,-36.0558312655087,-26.8639200998752,12.7540192926045,1228,61.1896544094871,61.8644630293376,1349035.41003568,8702946.83320941,1525643.14460415,-417326.14460415,-27.3541126625933,"Fuss",NA
"14",2021,2,2021-02-01,5383000,1134371,944084,5.2,33.7,-46.5986509274874,0.607547169811321,16.1083743842365,-28.8598901098901,-23.2796143250689,10.9105263157895,492,63.8839898099157,63.885214579659,1348863.52058357,8587257.57093972,1524511.25443264,-390140.254432638,-25.5911691893565,"Fuss",NA
"15",2021,3,2021-03-01,6185000,1367170,1464643,6.7,53.3,-32.0867579908676,9.88717948717949,21.2096774193548,-23.1166253101737,-17.0049566294919,8.88401253918495,814,55.5854241338112,59.2011814682066,1620232.44534363,8763065.5617955,1559034.76427278,-191864.764272776,-12.3066379704671,"Fuss",NA
"16",2021,4,2021-04-01,5882000,1143507,1262402,NA,NA,-34.6813471502591,5.53432835820896,46.8492063492063,-22.7970085470085,-26.6255411255411,10.0331491712707,1335,49.3827160493827,55.787037037037,1718188.53373657,8611972.95530631,1538635.27526846,-395128.275268464,-25.6804378282255,"Fuss",NA
"17",2021,5,2021-05-01,1573000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,596,NA,NA,1909851.67240632,8757856.6414554,1539351.97428536,NA,NA,"Fuss",NA
"18",2020,1,2020-01-01,NA,8595290,1471517,3.6,16.5,NA,NA,NA,NA,NA,NA,NA,0,0,1252178.27341394,8790203.18667759,1496807.34949476,-194913.186677594,-2.21739114032089,"MIV",NA
"19",2020,2,2020-02-01,7524000,8308431,1374603,7.6,69.8,2.27577319587629,3.1219512195122,19.6167400881057,3.78974358974359,-4.01546391752577,0.782918149466192,0,2.68199233716475,5.31609195402299,1252006.38396183,8574409.1607691,1493354.33181935,-265978.160769099,-3.10199986707005,"MIV",NA
"20",2020,3,2020-03-01,7367000,6631168,1276055,7.3,47.9,-36.8343711083437,-4.35921052631579,-3.82692307692308,-31.590570719603,-22.84875,11.6825688073395,609,54.2568255232532,48.1746979954865,1523375.30872189,8903883.85703621,1598673.99329852,-2272715.85703621,-25.5249944128619,"MIV",NA
"21",2020,4,2020-04-01,2508000,5391976,1336751,13.5,16.8,-73.0935023771791,-11.3304498269896,21.2542372881356,-44.9435897435897,-42.9820971867008,19.4338085539715,298,81.4814814814815,68.0555555555556,1621331.39711483,8621561.41669608,1536441.98716037,-3229585.41669608,-37.4594027764139,"MIV",NA
"22",2020,5,2020-05-01,5482000,6314018,1619849,14.7,73.6,-36.272,-1.74315068493151,19.1868131868132,-26.1890547263682,-25.9586983729662,11.7453531598513,27,76.284348864994,68.8620071684588,1812994.53578458,8894827.4849309,1538628.39573213,-2580809.4849309,-29.0147222001006,"MIV",NA
"23",2020,6,2020-06-01,6259000,7234395,1892774,17.8,79.1,-15.1708860759494,-1.41196581196581,19.9058823529412,-14.0642673521851,-17.5025706940874,5.85925925925926,7,50.8024691358025,53.8425925925926,1986024.75490067,8684297.3223517,1523093.09416665,-1449902.3223517,-16.6956780558392,"MIV",NA
"24",2020,7,2020-07-01,5946000,7504104,1991156,21.3,5.6,-7.38181818181818,3.10726072607261,99.3098236775819,-5.29477611940298,-23.0534161490683,2.73166368515206,69,35.9617682198327,46.9982078853047,1786433.3656882,8416274.0275652,1469995.81781402,-912170.027565204,-10.8381692965039,"MIV",NA
"25",2020,8,2020-08-01,8072000,7696386,2042854,21.1,127.9,-11.1211498973306,-3.83710407239819,99.7649769585254,-7.36677115987461,-23.2102803738318,2.56569343065693,161,34.2592592592593,46.5277777777778,1990538.66879871,8523879.43002093,1522573.53530814,-827493.430020932,-9.70794386305509,"MIV",NA
"26",2020,9,2020-09-01,7103000,7803967,2057742,17,46.2,-7.98476190476191,-1.77661795407098,60.508896797153,-5.95982142857143,-15.5374449339207,1.54577464788732,102,34.2592592592593,45.3600823045267,2020999.29603566,8512163.35575121,1518251.19896221,-708196.355751205,-8.31981631640934,"MIV",NA
"27",2020,10,2020-10-01,6614000,7906709,1641537,10.6,106.6,-15.0567164179104,-2.24790619765494,19.4481981981982,-17.7531017369727,-16.9278606965174,5.56940063091483,1259,30.6905172795256,40.2645028541086,1758908.62056561,8717487.07263151,1538285.51966526,-810778.072631514,-9.3005939197426,"MIV",NA
"28",2020,11,2020-11-01,8036000,7128818,1553695,6.8,18.1,-25.9496855345912,-2.02504472271914,3.23809523809524,-26.5730769230769,-16.7600518806744,9.18390804597701,2848,48.823731138546,52.8094993141289,1644804.18737358,8824413.6158489,1549906.92042911,-1695595.6158489,-19.2148247992769,"MIV",NA
"29",2020,12,2020-12-01,5836000,6798648,1118637,4.1,68.3,-28.6998468606432,-0.925675675675676,-10.9617021276596,-32.8970223325062,-29.1536555142503,11.9638364779874,2683,53.2855436081243,56.1039758396389,1322067.99094412,8607510.26892989,1525776.7713746,-1808862.26892989,-21.0149301297874,"MIV",NA
"30",2021,1,2021-01-01,6685000,6631689,962819,2.2,110.2,-49.9035222052067,-13.0648464163823,-13.5042194092827,-36.0558312655087,-26.8639200998752,12.7540192926045,1228,61.1896544094871,61.8644630293376,1349035.41003568,8702946.83320941,1525643.14460415,-2071257.83320941,-23.7995000188412,"MIV",NA
"31",2021,2,2021-02-01,5383000,6373978,944084,5.2,33.7,-46.5986509274874,0.607547169811321,16.1083743842365,-28.8598901098901,-23.2796143250689,10.9105263157895,492,63.8839898099157,63.885214579659,1348863.52058357,8587257.57093972,1524511.25443264,-2213279.57093972,-25.7739977246021,"MIV",NA
"32",2021,3,2021-03-01,6185000,7706868,1464643,6.7,53.3,-32.0867579908676,9.88717948717949,21.2096774193548,-23.1166253101737,-17.0049566294919,8.88401253918495,814,55.5854241338112,59.2011814682066,1620232.44534363,8763065.5617955,1559034.76427278,-1056197.5617955,-12.0528319039426,"MIV",NA
"33",2021,4,2021-04-01,5882000,7350769,1262402,NA,NA,-34.6813471502591,5.53432835820896,46.8492063492063,-22.7970085470085,-26.6255411255411,10.0331491712707,1335,49.3827160493827,55.787037037037,1718188.53373657,8611972.95530631,1538635.27526846,-1261203.95530631,-14.6447737568569,"MIV",NA
"34",2021,5,2021-05-01,1573000,2085325,NA,NA,NA,NA,NA,NA,NA,NA,NA,596,NA,NA,1909851.67240632,8757856.6414554,1539351.97428536,-6672531.6414554,-76.1890941428626,"MIV",NA
"35",2020,1,2020-01-01,NA,8595290,1471517,3.6,16.5,NA,NA,NA,NA,NA,NA,NA,0,0,1252178.27341394,8790203.18667759,1496807.34949476,NA,NA,"ÖV",NA
"36",2020,2,2020-02-01,7524000,8308431,1374603,7.6,69.8,2.27577319587629,3.1219512195122,19.6167400881057,3.78974358974359,-4.01546391752577,0.782918149466192,0,2.68199233716475,5.31609195402299,1252006.38396183,8574409.1607691,1493354.33181935,0,0,"ÖV",NA
"37",2020,3,2020-03-01,7367000,6631168,1276055,7.3,47.9,-36.8343711083437,-4.35921052631579,-3.82692307692308,-31.590570719603,-22.84875,11.6825688073395,609,54.2568255232532,48.1746979954865,1523375.30872189,8903883.85703621,1598673.99329852,-157000,-2.08665603402445,"ÖV",NA
"38",2020,4,2020-04-01,2508000,5391976,1336751,13.5,16.8,-73.0935023771791,-11.3304498269896,21.2542372881356,-44.9435897435897,-42.9820971867008,19.4338085539715,298,81.4814814814815,68.0555555555556,1621331.39711483,8621561.41669608,1536441.98716037,-5016000,-66.6666666666667,"ÖV",NA
"39",2020,5,2020-05-01,5482000,6314018,1619849,14.7,73.6,-36.272,-1.74315068493151,19.1868131868132,-26.1890547263682,-25.9586983729662,11.7453531598513,27,76.284348864994,68.8620071684588,1812994.53578458,8894827.4849309,1538628.39573213,-2042000,-27.1398192450824,"ÖV",NA
"40",2020,6,2020-06-01,6259000,7234395,1892774,17.8,79.1,-15.1708860759494,-1.41196581196581,19.9058823529412,-14.0642673521851,-17.5025706940874,5.85925925925926,7,50.8024691358025,53.8425925925926,1986024.75490067,8684297.3223517,1523093.09416665,-1265000,-16.812865497076,"ÖV",NA
"41",2020,7,2020-07-01,5946000,7504104,1991156,21.3,5.6,-7.38181818181818,3.10726072607261,99.3098236775819,-5.29477611940298,-23.0534161490683,2.73166368515206,69,35.9617682198327,46.9982078853047,1786433.3656882,8416274.0275652,1469995.81781402,-1578000,-20.9728867623604,"ÖV",NA
"42",2020,8,2020-08-01,8072000,7696386,2042854,21.1,127.9,-11.1211498973306,-3.83710407239819,99.7649769585254,-7.36677115987461,-23.2102803738318,2.56569343065693,161,34.2592592592593,46.5277777777778,1990538.66879871,8523879.43002093,1522573.53530814,548000,7.28335991493886,"ÖV",NA
"43",2020,9,2020-09-01,7103000,7803967,2057742,17,46.2,-7.98476190476191,-1.77661795407098,60.508896797153,-5.95982142857143,-15.5374449339207,1.54577464788732,102,34.2592592592593,45.3600823045267,2020999.29603566,8512163.35575121,1518251.19896221,-421000,-5.59542796384902,"ÖV",NA
"44",2020,10,2020-10-01,6614000,7906709,1641537,10.6,106.6,-15.0567164179104,-2.24790619765494,19.4481981981982,-17.7531017369727,-16.9278606965174,5.56940063091483,1259,30.6905172795256,40.2645028541086,1758908.62056561,8717487.07263151,1538285.51966526,-910000,-12.0946305156831,"ÖV",NA
"45",2020,11,2020-11-01,8036000,7128818,1553695,6.8,18.1,-25.9496855345912,-2.02504472271914,3.23809523809524,-26.5730769230769,-16.7600518806744,9.18390804597701,2848,48.823731138546,52.8094993141289,1644804.18737358,8824413.6158489,1549906.92042911,512000,6.80489101541733,"ÖV",NA
"46",2020,12,2020-12-01,5836000,6798648,1118637,4.1,68.3,-28.6998468606432,-0.925675675675676,-10.9617021276596,-32.8970223325062,-29.1536555142503,11.9638364779874,2683,53.2855436081243,56.1039758396389,1322067.99094412,8607510.26892989,1525776.7713746,-1688000,-22.434875066454,"ÖV",NA
"47",2021,1,2021-01-01,6685000,6631689,962819,2.2,110.2,-49.9035222052067,-13.0648464163823,-13.5042194092827,-36.0558312655087,-26.8639200998752,12.7540192926045,1228,61.1896544094871,61.8644630293376,1349035.41003568,8702946.83320941,1525643.14460415,-839000,-11.1509835194046,"ÖV",NA
"48",2021,2,2021-02-01,5383000,6373978,944084,5.2,33.7,-46.5986509274874,0.607547169811321,16.1083743842365,-28.8598901098901,-23.2796143250689,10.9105263157895,492,63.8839898099157,63.885214579659,1348863.52058357,8587257.57093972,1524511.25443264,-2141000,-28.4556087187666,"ÖV",NA
"49",2021,3,2021-03-01,6185000,7706868,1464643,6.7,53.3,-32.0867579908676,9.88717948717949,21.2096774193548,-23.1166253101737,-17.0049566294919,8.88401253918495,814,55.5854241338112,59.2011814682066,1620232.44534363,8763065.5617955,1559034.76427278,-1339000,-17.7963849016481,"ÖV",NA
"50",2021,4,2021-04-01,5882000,7350769,1262402,NA,NA,-34.6813471502591,5.53432835820896,46.8492063492063,-22.7970085470085,-26.6255411255411,10.0331491712707,1335,49.3827160493827,55.787037037037,1718188.53373657,8611972.95530631,1538635.27526846,-1642000,-21.8234981392876,"ÖV",NA
"51",2021,5,2021-05-01,1573000,2085325,NA,NA,NA,NA,NA,NA,NA,NA,NA,596,NA,NA,1909851.67240632,8757856.6414554,1539351.97428536,-5951000,-79.093567251462,"ÖV",NA
"52",2020,1,2020-01-01,NA,1471517,NA,3.6,16.5,NA,NA,NA,NA,NA,NA,NA,0,0,1252178.27341394,8790203.18667759,1496807.34949476,219338.726586063,17.5165734179414,"Velo",8595290
"53",2020,2,2020-02-01,7524000,1374603,NA,7.6,69.8,2.27577319587629,3.1219512195122,19.6167400881057,3.78974358974359,-4.01546391752577,0.782918149466192,0,2.68199233716475,5.31609195402299,1252006.38396183,8574409.1607691,1493354.33181935,122596.616038168,9.79201205430157,"Velo",8308431
"54",2020,3,2020-03-01,7367000,1276055,NA,7.3,47.9,-36.8343711083437,-4.35921052631579,-3.82692307692308,-31.590570719603,-22.84875,11.6825688073395,609,54.2568255232532,48.1746979954865,1523375.30872189,8903883.85703621,1598673.99329852,-247320.308721891,-16.2350214885255,"Velo",6631168
"55",2020,4,2020-04-01,2508000,1336751,NA,13.5,16.8,-73.0935023771791,-11.3304498269896,21.2542372881356,-44.9435897435897,-42.9820971867008,19.4338085539715,298,81.4814814814815,68.0555555555556,1621331.39711483,8621561.41669608,1536441.98716037,-284580.39711483,-17.5522658489956,"Velo",5391976
"56",2020,5,2020-05-01,5482000,1619849,NA,14.7,73.6,-36.272,-1.74315068493151,19.1868131868132,-26.1890547263682,-25.9586983729662,11.7453531598513,27,76.284348864994,68.8620071684588,1812994.53578458,8894827.4849309,1538628.39573213,-193145.535784584,-10.653398671221,"Velo",6314018
"57",2020,6,2020-06-01,6259000,1892774,NA,17.8,79.1,-15.1708860759494,-1.41196581196581,19.9058823529412,-14.0642673521851,-17.5025706940874,5.85925925925926,7,50.8024691358025,53.8425925925926,1986024.75490067,8684297.3223517,1523093.09416665,-93250.754900666,-4.69534705801439,"Velo",7234395
"58",2020,7,2020-07-01,5946000,1991156,NA,21.3,5.6,-7.38181818181818,3.10726072607261,99.3098236775819,-5.29477611940298,-23.0534161490683,2.73166368515206,69,35.9617682198327,46.9982078853047,1786433.3656882,8416274.0275652,1469995.81781402,204722.634311801,11.4598528130902,"Velo",7504104
"59",2020,8,2020-08-01,8072000,2042854,NA,21.1,127.9,-11.1211498973306,-3.83710407239819,99.7649769585254,-7.36677115987461,-23.2102803738318,2.56569343065693,161,34.2592592592593,46.5277777777778,1990538.66879871,8523879.43002093,1522573.53530814,52315.3312012935,2.62819969394847,"Velo",7696386
"60",2020,9,2020-09-01,7103000,2057742,NA,17,46.2,-7.98476190476191,-1.77661795407098,60.508896797153,-5.95982142857143,-15.5374449339207,1.54577464788732,102,34.2592592592593,45.3600823045267,2020999.29603566,8512163.35575121,1518251.19896221,36742.7039643386,1.81804635144664,"Velo",7803967
"61",2020,10,2020-10-01,6614000,1641537,NA,10.6,106.6,-15.0567164179104,-2.24790619765494,19.4481981981982,-17.7531017369727,-16.9278606965174,5.56940063091483,1259,30.6905172795256,40.2645028541086,1758908.62056561,8717487.07263151,1538285.51966526,-117371.620565607,-6.67298000551412,"Velo",7906709
"62",2020,11,2020-11-01,8036000,1553695,NA,6.8,18.1,-25.9496855345912,-2.02504472271914,3.23809523809524,-26.5730769230769,-16.7600518806744,9.18390804597701,2848,48.823731138546,52.8094993141289,1644804.18737358,8824413.6158489,1549906.92042911,-91109.1873735795,-5.53921178417368,"Velo",7128818
"63",2020,12,2020-12-01,5836000,1118637,NA,4.1,68.3,-28.6998468606432,-0.925675675675676,-10.9617021276596,-32.8970223325062,-29.1536555142503,11.9638364779874,2683,53.2855436081243,56.1039758396389,1322067.99094412,8607510.26892989,1525776.7713746,-203430.990944118,-15.3873319933299,"Velo",6798648
"64",2021,1,2021-01-01,6685000,962819,NA,2.2,110.2,-49.9035222052067,-13.0648464163823,-13.5042194092827,-36.0558312655087,-26.8639200998752,12.7540192926045,1228,61.1896544094871,61.8644630293376,1349035.41003568,8702946.83320941,1525643.14460415,-386216.410035676,-28.6290787597237,"Velo",6631689
"65",2021,2,2021-02-01,5383000,944084,NA,5.2,33.7,-46.5986509274874,0.607547169811321,16.1083743842365,-28.8598901098901,-23.2796143250689,10.9105263157895,492,63.8839898099157,63.885214579659,1348863.52058357,8587257.57093972,1524511.25443264,-404779.520583571,-30.0089308077994,"Velo",6373978
"66",2021,3,2021-03-01,6185000,1464643,NA,6.7,53.3,-32.0867579908676,9.88717948717949,21.2096774193548,-23.1166253101737,-17.0049566294919,8.88401253918495,814,55.5854241338112,59.2011814682066,1620232.44534363,8763065.5617955,1559034.76427278,-155589.44534363,-9.60290887833887,"Velo",7706868
"67",2021,4,2021-04-01,5882000,1262402,NA,NA,NA,-34.6813471502591,5.53432835820896,46.8492063492063,-22.7970085470085,-26.6255411255411,10.0331491712707,1335,49.3827160493827,55.787037037037,1718188.53373657,8611972.95530631,1538635.27526846,-455786.533736569,-26.5271548952409,"Velo",7350769
"68",2021,5,2021-05-01,1573000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,596,NA,NA,1909851.67240632,8757856.6414554,1539351.97428536,NA,NA,"Velo",2085325
