"year","month","year_month","temperature","precipitation","retail_and_recreation_percent_change_from_baseline","grocery_and_pharmacy_percent_change_from_baseline","parks_percent_change_from_baseline","transit_stations_percent_change_from_baseline","workplaces_percent_change_from_baseline","residential_percent_change_from_baseline","covid_cases_bs","stringency_index","containment_health_index","mode","total_per_mode"
2015,1,2015-01-01,3.1,67.9,,,,,,,,,,"car",8251573
2015,1,2015-01-01,3.1,67.9,,,,,,,,,,"fuss",920121
2015,1,2015-01-01,3.1,67.9,,,,,,,,,,"velo",787443
2015,1,2015-01-01,3.1,67.9,,,,,,,,,,"oev",
2015,2,2015-02-01,1.6,25.4,,,,,,,,,,"car",7811800
2015,2,2015-02-01,1.6,25.4,,,,,,,,,,"fuss",1188195
2015,2,2015-02-01,1.6,25.4,,,,,,,,,,"velo",721961
2015,2,2015-02-01,1.6,25.4,,,,,,,,,,"oev",
2015,3,2015-03-01,7.4,31.3,,,,,,,,,,"car",9056240
2015,3,2015-03-01,7.4,31.3,,,,,,,,,,"fuss",1272319
2015,3,2015-03-01,7.4,31.3,,,,,,,,,,"velo",1203147
2015,3,2015-03-01,7.4,31.3,,,,,,,,,,"oev",
2015,4,2015-04-01,11.2,87.6,,,,,,,,,,"car",8433669
2015,4,2015-04-01,11.2,87.6,,,,,,,,,,"fuss",1202894
2015,4,2015-04-01,11.2,87.6,,,,,,,,,,"velo",1139492
2015,4,2015-04-01,11.2,87.6,,,,,,,,,,"oev",
2015,5,2015-05-01,15,92.1,,,,,,,,,,"car",8343536
2015,5,2015-05-01,15,92.1,,,,,,,,,,"fuss",1203255
2015,5,2015-05-01,15,92.1,,,,,,,,,,"velo",1188460
2015,5,2015-05-01,15,92.1,,,,,,,,,,"oev",
2015,6,2015-06-01,18.7,94.5,,,,,,,,,,"car",8485696
2015,6,2015-06-01,18.7,94.5,,,,,,,,,,"fuss",1261928
2015,6,2015-06-01,18.7,94.5,,,,,,,,,,"velo",1396150
2015,6,2015-06-01,18.7,94.5,,,,,,,,,,"oev",
2015,7,2015-07-01,23.2,22.9,,,,,,,,,,"car",7952409
2015,7,2015-07-01,23.2,22.9,,,,,,,,,,"fuss",1195281
2015,7,2015-07-01,23.2,22.9,,,,,,,,,,"velo",1290166
2015,7,2015-07-01,23.2,22.9,,,,,,,,,,"oev",
2015,8,2015-08-01,21,73.7,,,,,,,,,,"car",8401497
2015,8,2015-08-01,21,73.7,,,,,,,,,,"fuss",1108911
2015,8,2015-08-01,21,73.7,,,,,,,,,,"velo",1345749
2015,8,2015-08-01,21,73.7,,,,,,,,,,"oev",
2015,9,2015-09-01,14.4,49,,,,,,,,,,"car",8778707
2015,9,2015-09-01,14.4,49,,,,,,,,,,"fuss",1178979
2015,9,2015-09-01,14.4,49,,,,,,,,,,"velo",1422543
2015,9,2015-09-01,14.4,49,,,,,,,,,,"oev",
2015,10,2015-10-01,10.2,36,,,,,,,,,,"car",9257625
2015,10,2015-10-01,10.2,36,,,,,,,,,,"fuss",1216482
2015,10,2015-10-01,10.2,36,,,,,,,,,,"velo",1248218
2015,10,2015-10-01,10.2,36,,,,,,,,,,"oev",
2015,11,2015-11-01,8.7,48.9,,,,,,,,,,"car",9202184
2015,11,2015-11-01,8.7,48.9,,,,,,,,,,"fuss",1085948
2015,11,2015-11-01,8.7,48.9,,,,,,,,,,"velo",1141828
2015,11,2015-11-01,8.7,48.9,,,,,,,,,,"oev",
2015,12,2015-12-01,5.5,16,,,,,,,,,,"car",9262910
2015,12,2015-12-01,5.5,16,,,,,,,,,,"fuss",1246554
2015,12,2015-12-01,5.5,16,,,,,,,,,,"velo",951641
2015,12,2015-12-01,5.5,16,,,,,,,,,,"oev",
2016,1,2016-01-01,3.7,131.9,,,,,,,,,,"car",9450802
2016,1,2016-01-01,3.7,131.9,,,,,,,,,,"fuss",1021928
2016,1,2016-01-01,3.7,131.9,,,,,,,,,,"velo",1006098
2016,1,2016-01-01,3.7,131.9,,,,,,,,,,"oev",
2016,2,2016-02-01,5.2,86.1,,,,,,,,,,"car",9039685
2016,2,2016-02-01,5.2,86.1,,,,,,,,,,"fuss",1107894
2016,2,2016-02-01,5.2,86.1,,,,,,,,,,"velo",948456
2016,2,2016-02-01,5.2,86.1,,,,,,,,,,"oev",
2016,3,2016-03-01,5.7,37.8,,,,,,,,,,"car",9862968
2016,3,2016-03-01,5.7,37.8,,,,,,,,,,"fuss",1349772
2016,3,2016-03-01,5.7,37.8,,,,,,,,,,"velo",1176627
2016,3,2016-03-01,5.7,37.8,,,,,,,,,,"oev",
2016,4,2016-04-01,9.7,144.8,,,,,,,,,,"car",9876035
2016,4,2016-04-01,9.7,144.8,,,,,,,,,,"fuss",1322530
2016,4,2016-04-01,9.7,144.8,,,,,,,,,,"velo",1402146
2016,4,2016-04-01,9.7,144.8,,,,,,,,,,"oev",
2016,5,2016-05-01,13.9,154.7,,,,,,,,,,"car",9366270
2016,5,2016-05-01,13.9,154.7,,,,,,,,,,"fuss",1405167
2016,5,2016-05-01,13.9,154.7,,,,,,,,,,"velo",1499403
2016,5,2016-05-01,13.9,154.7,,,,,,,,,,"oev",
2016,6,2016-06-01,17.7,176.2,,,,,,,,,,"car",9480130
2016,6,2016-06-01,17.7,176.2,,,,,,,,,,"fuss",1387527
2016,6,2016-06-01,17.7,176.2,,,,,,,,,,"velo",1576596
2016,6,2016-06-01,17.7,176.2,,,,,,,,,,"oev",
2016,7,2016-07-01,20.7,35.7,,,,,,,,,,"car",8496668
2016,7,2016-07-01,20.7,35.7,,,,,,,,,,"fuss",1323049
2016,7,2016-07-01,20.7,35.7,,,,,,,,,,"velo",1540287
2016,7,2016-07-01,20.7,35.7,,,,,,,,,,"oev",
2016,8,2016-08-01,20.3,69.2,,,,,,,,,,"car",8535398
2016,8,2016-08-01,20.3,69.2,,,,,,,,,,"fuss",1442211
2016,8,2016-08-01,20.3,69.2,,,,,,,,,,"velo",1704037
2016,8,2016-08-01,20.3,69.2,,,,,,,,,,"oev",
2016,9,2016-09-01,17.8,44.7,,,,,,,,,,"car",8649099
2016,9,2016-09-01,17.8,44.7,,,,,,,,,,"fuss",1487081
2016,9,2016-09-01,17.8,44.7,,,,,,,,,,"velo",1560208
2016,9,2016-09-01,17.8,44.7,,,,,,,,,,"oev",
2016,10,2016-10-01,9.6,57.7,,,,,,,,,,"car",9358552
2016,10,2016-10-01,9.6,57.7,,,,,,,,,,"fuss",1547153
2016,10,2016-10-01,9.6,57.7,,,,,,,,,,"velo",1212854
2016,10,2016-10-01,9.6,57.7,,,,,,,,,,"oev",
2016,11,2016-11-01,5.9,54.7,,,,,,,,,,"car",9424815
2016,11,2016-11-01,5.9,54.7,,,,,,,,,,"fuss",1662192
2016,11,2016-11-01,5.9,54.7,,,,,,,,,,"velo",1211166
2016,11,2016-11-01,5.9,54.7,,,,,,,,,,"oev",
2016,12,2016-12-01,1,3.3,,,,,,,,,,"car",9201008
2016,12,2016-12-01,1,3.3,,,,,,,,,,"fuss",1630558
2016,12,2016-12-01,1,3.3,,,,,,,,,,"velo",973520
2016,12,2016-12-01,1,3.3,,,,,,,,,,"oev",
2017,1,2017-01-01,-1.7,38.5,,,,,,,,,,"car",8591329
2017,1,2017-01-01,-1.7,38.5,,,,,,,,,,"fuss",1353753
2017,1,2017-01-01,-1.7,38.5,,,,,,,,,,"velo",813052
2017,1,2017-01-01,-1.7,38.5,,,,,,,,,,"oev",
2017,2,2017-02-01,5.5,59,,,,,,,,,,"car",7445601
2017,2,2017-02-01,5.5,59,,,,,,,,,,"fuss",1386829
2017,2,2017-02-01,5.5,59,,,,,,,,,,"velo",1010831
2017,2,2017-02-01,5.5,59,,,,,,,,,,"oev",
2017,3,2017-03-01,9.6,36.4,,,,,,,,,,"car",8626999
2017,3,2017-03-01,9.6,36.4,,,,,,,,,,"fuss",1909503
2017,3,2017-03-01,9.6,36.4,,,,,,,,,,"velo",1353720
2017,3,2017-03-01,9.6,36.4,,,,,,,,,,"oev",
2017,4,2017-04-01,9.9,66.2,,,,,,,,,,"car",8674648
2017,4,2017-04-01,9.9,66.2,,,,,,,,,,"fuss",1582397
2017,4,2017-04-01,9.9,66.2,,,,,,,,,,"velo",1303979
2017,4,2017-04-01,9.9,66.2,,,,,,,,,,"oev",
2017,5,2017-05-01,15.8,112.7,,,,,,,,,,"car",8771446
2017,5,2017-05-01,15.8,112.7,,,,,,,,,,"fuss",1745615
2017,5,2017-05-01,15.8,112.7,,,,,,,,,,"velo",1636085
2017,5,2017-05-01,15.8,112.7,,,,,,,,,,"oev",
2017,6,2017-06-01,20.9,32,,,,,,,,,,"car",8641063
2017,6,2017-06-01,20.9,32,,,,,,,,,,"fuss",1910746
2017,6,2017-06-01,20.9,32,,,,,,,,,,"velo",1859662
2017,6,2017-06-01,20.9,32,,,,,,,,,,"oev",
2017,7,2017-07-01,20.9,71.3,,,,,,,,,,"car",7810401
2017,7,2017-07-01,20.9,71.3,,,,,,,,,,"fuss",1739786
2017,7,2017-07-01,20.9,71.3,,,,,,,,,,"velo",1422419
2017,7,2017-07-01,20.9,71.3,,,,,,,,,,"oev",
2017,8,2017-08-01,20.5,100.2,,,,,,,,,,"car",8275910
2017,8,2017-08-01,20.5,100.2,,,,,,,,,,"fuss",1581391
2017,8,2017-08-01,20.5,100.2,,,,,,,,,,"velo",1711175
2017,8,2017-08-01,20.5,100.2,,,,,,,,,,"oev",
2017,9,2017-09-01,14.3,42.1,,,,,,,,,,"car",7689007
2017,9,2017-09-01,14.3,42.1,,,,,,,,,,"fuss",1736738
2017,9,2017-09-01,14.3,42.1,,,,,,,,,,"velo",1590041
2017,9,2017-09-01,14.3,42.1,,,,,,,,,,"oev",
2017,10,2017-10-01,12.1,33.6,,,,,,,,,,"car",7543244
2017,10,2017-10-01,12.1,33.6,,,,,,,,,,"fuss",1789556
2017,10,2017-10-01,12.1,33.6,,,,,,,,,,"velo",1493417
2017,10,2017-10-01,12.1,33.6,,,,,,,,,,"oev",
2017,11,2017-11-01,5.7,92.5,,,,,,,,,,"car",7626430
2017,11,2017-11-01,5.7,92.5,,,,,,,,,,"fuss",1581697
2017,11,2017-11-01,5.7,92.5,,,,,,,,,,"velo",1328308
2017,11,2017-11-01,5.7,92.5,,,,,,,,,,"oev",
2017,12,2017-12-01,3.1,80.7,,,,,,,,,,"car",7827082
2017,12,2017-12-01,3.1,80.7,,,,,,,,,,"fuss",1550125
2017,12,2017-12-01,3.1,80.7,,,,,,,,,,"velo",980826
2017,12,2017-12-01,3.1,80.7,,,,,,,,,,"oev",
2018,1,2018-01-01,6.3,117.3,,,,,,,,,,"car",8741091
2018,1,2018-01-01,6.3,117.3,,,,,,,,,,"fuss",1436525
2018,1,2018-01-01,6.3,117.3,,,,,,,,,,"velo",1068864
2018,1,2018-01-01,6.3,117.3,,,,,,,,,,"oev",
2018,2,2018-02-01,0.3,34.5,,,,,,,,,,"car",7783266
2018,2,2018-02-01,0.3,34.5,,,,,,,,,,"fuss",1376629
2018,2,2018-02-01,0.3,34.5,,,,,,,,,,"velo",858357
2018,2,2018-02-01,0.3,34.5,,,,,,,,,,"oev",
2018,3,2018-03-01,5.2,47.7,,,,,,,,,,"car",8948224
2018,3,2018-03-01,5.2,47.7,,,,,,,,,,"fuss",1417840
2018,3,2018-03-01,5.2,47.7,,,,,,,,,,"velo",1204890
2018,3,2018-03-01,5.2,47.7,,,,,,,,,,"oev",
2018,4,2018-04-01,14.2,15,,,,,,,,,,"car",8417956
2018,4,2018-04-01,14.2,15,,,,,,,,,,"fuss",1470021
2018,4,2018-04-01,14.2,15,,,,,,,,,,"velo",1458796
2018,4,2018-04-01,14.2,15,,,,,,,,,,"oev",
2018,5,2018-05-01,16.3,127.2,,,,,,,,,,"car",8480877
2018,5,2018-05-01,16.3,127.2,,,,,,,,,,"fuss",1420121
2018,5,2018-05-01,16.3,127.2,,,,,,,,,,"velo",1589390
2018,5,2018-05-01,16.3,127.2,,,,,,,,,,"oev",
2018,6,2018-06-01,19.5,47.8,,,,,,,,,,"car",8750534
2018,6,2018-06-01,19.5,47.8,,,,,,,,,,"fuss",1453091
2018,6,2018-06-01,19.5,47.8,,,,,,,,,,"velo",1795579
2018,6,2018-06-01,19.5,47.8,,,,,,,,,,"oev",
2018,7,2018-07-01,22.4,55.3,,,,,,,,,,"car",8155823
2018,7,2018-07-01,22.4,55.3,,,,,,,,,,"fuss",1221711
2018,7,2018-07-01,22.4,55.3,,,,,,,,,,"velo",1533755
2018,7,2018-07-01,22.4,55.3,,,,,,,,,,"oev",
2018,8,2018-08-01,21.7,50.6,,,,,,,,,,"car",8750726
2018,8,2018-08-01,21.7,50.6,,,,,,,,,,"fuss",1283567
2018,8,2018-08-01,21.7,50.6,,,,,,,,,,"velo",1841416
2018,8,2018-08-01,21.7,50.6,,,,,,,,,,"oev",
2018,9,2018-09-01,17.4,28.1,,,,,,,,,,"car",8776858
2018,9,2018-09-01,17.4,28.1,,,,,,,,,,"fuss",1326632
2018,9,2018-09-01,17.4,28.1,,,,,,,,,,"velo",1832256
2018,9,2018-09-01,17.4,28.1,,,,,,,,,,"oev",
2018,10,2018-10-01,11.8,41.4,,,,,,,,,,"car",9149838
2018,10,2018-10-01,11.8,41.4,,,,,,,,,,"fuss",1503872
2018,10,2018-10-01,11.8,41.4,,,,,,,,,,"velo",1719284
2018,10,2018-10-01,11.8,41.4,,,,,,,,,,"oev",
2018,11,2018-11-01,6.3,33.7,,,,,,,,,,"car",9029647
2018,11,2018-11-01,6.3,33.7,,,,,,,,,,"fuss",1572305
2018,11,2018-11-01,6.3,33.7,,,,,,,,,,"velo",1543498
2018,11,2018-11-01,6.3,33.7,,,,,,,,,,"oev",
2018,12,2018-12-01,5,99,,,,,,,,,,"car",8522503
2018,12,2018-12-01,5,99,,,,,,,,,,"fuss",1442559
2018,12,2018-12-01,5,99,,,,,,,,,,"velo",1105437
2018,12,2018-12-01,5,99,,,,,,,,,,"oev",
2019,1,2019-01-01,1.6,22.2,,,,,,,,,,"car",8881684
2019,1,2019-01-01,1.6,22.2,,,,,,,,,,"fuss",1408839
2019,1,2019-01-01,1.6,22.2,,,,,,,,,,"velo",1154435
2019,1,2019-01-01,1.6,22.2,,,,,,,,,,"oev",
2019,2,2019-02-01,5.1,28,,,,,,,,,,"car",8495709
2019,2,2019-02-01,5.1,28,,,,,,,,,,"fuss",1398305
2019,2,2019-02-01,5.1,28,,,,,,,,,,"velo",1257971
2019,2,2019-02-01,5.1,28,,,,,,,,,,"oev",
2019,3,2019-03-01,8.5,39.5,,,,,,,,,,"car",9125756
2019,3,2019-03-01,8.5,39.5,,,,,,,,,,"fuss",1719600
2019,3,2019-03-01,8.5,39.5,,,,,,,,,,"velo",1340287
2019,3,2019-03-01,8.5,39.5,,,,,,,,,,"oev",
2019,4,2019-04-01,9.9,65.4,,,,,,,,,,"car",8607815
2019,4,2019-04-01,9.9,65.4,,,,,,,,,,"fuss",1529751
2019,4,2019-04-01,9.9,65.4,,,,,,,,,,"velo",1422403
2019,4,2019-04-01,9.9,65.4,,,,,,,,,,"oev",
2019,5,2019-05-01,12.2,77.7,,,,,,,,,,"car",9126991
2019,5,2019-05-01,12.2,77.7,,,,,,,,,,"fuss",1536421
2019,5,2019-05-01,12.2,77.7,,,,,,,,,,"velo",1697231
2019,5,2019-05-01,12.2,77.7,,,,,,,,,,"oev",
2019,6,2019-06-01,20.4,86.2,,,,,,,,,,"car",8739045
2019,6,2019-06-01,20.4,86.2,,,,,,,,,,"fuss",1489028
2019,6,2019-06-01,20.4,86.2,,,,,,,,,,"velo",1846942
2019,6,2019-06-01,20.4,86.2,,,,,,,,,,"oev",
2019,7,2019-07-01,21.6,84.7,,,,,,,,,,"car",8242094
2019,7,2019-07-01,21.6,84.7,,,,,,,,,,"fuss",1327046
2019,7,2019-07-01,21.6,84.7,,,,,,,,,,"velo",1711173
2019,7,2019-07-01,21.6,84.7,,,,,,,,,,"oev",
2019,8,2019-08-01,20.2,108,,,,,,,,,,"car",8446907
2019,8,2019-08-01,20.2,108,,,,,,,,,,"fuss",1487443
2019,8,2019-08-01,20.2,108,,,,,,,,,,"velo",1877429
2019,8,2019-08-01,20.2,108,,,,,,,,,,"oev",
2019,9,2019-09-01,16.1,57.8,,,,,,,,,,"car",8427626
2019,9,2019-09-01,16.1,57.8,,,,,,,,,,"fuss",1474257
2019,9,2019-09-01,16.1,57.8,,,,,,,,,,"velo",2110120
2019,9,2019-09-01,16.1,57.8,,,,,,,,,,"oev",
2019,10,2019-10-01,12.5,110.3,,,,,,,,,,"car",8813825
2019,10,2019-10-01,12.5,110.3,,,,,,,,,,"fuss",1535375
2019,10,2019-10-01,12.5,110.3,,,,,,,,,,"velo",1625880
